strTemplateName,strNameResource,XJDFDescriptiveName,XJDFMediaType,XJDFWidth,XJDFLength,XJDFDimensionsUnit,numPricePerThousand
12pt C1S Cover,12pt C1S Cover,12pt C1S Cover,Paper,26,40,in,400.698
12pt C2S Cover,12pt C2S Cover,12pt C2S Cover,Paper,13,19,in,153.66
12pt C2S Cover,12pt C2S Cover,12pt C2S Cover,Paper,26,40,in,377.058
12pt C2S Cover,12pt C2S Cover,12pt C2S Cover,Paper,12,18,in,134.748
12pt C2S Cover,12pt C2S Cover,12pt C2S Cover,Paper,25,38,in,345.144
12pt C2S Cover,12pt C2S Cover,12pt C2S Cover,Paper,19,25,in,205.668
12pt C2S Cover,12pt C2S Cover,12pt C2S Cover,Paper,20,26,in,224.58
12pt C2S Cover,12pt C2S Cover,12pt C2S Cover,Paper,23,29,in,287.226
12pt C2S Cover,12pt C2S Cover,12pt C2S Cover,Paper,23,35,in,347.508
14pt C1S Cover,14pt C1S Cover,14pt C1S Cover,Paper,12,18,in,130.02
14pt C1S Cover,14pt C1S Cover,14pt C1S Cover,Paper,13,19,in,141.84
14pt C1S Cover,14pt C1S Cover,14pt C1S Cover,Paper,19,25,in,189.12
14pt C1S Cover,14pt C1S Cover,14pt C1S Cover,Paper,20,26,in,248.22
14pt C1S Cover,14pt C1S Cover,14pt C1S Cover,Paper,28,40,in,496.44
14pt C2S Cover,14pt C2S Cover,14pt C2S Cover,Paper,12,18,in,156.024
14pt C2S Cover,14pt C2S Cover,14pt C2S Cover,Paper,13,19,in,177.3
14pt C2S Cover,14pt C2S Cover,14pt C2S Cover,Paper,19,25,in,238.764
14pt C2S Cover,14pt C2S Cover,14pt C2S Cover,Paper,20,26,in,270.678
14pt C2S Cover,14pt C2S Cover,14pt C2S Cover,Paper,23,35,in,400.698
14pt C2S Cover,14pt C2S Cover,14pt C2S Cover,Paper,28,40,in,554.358
14pt C2S Cover,14pt C2S Cover,14pt C2S Cover,Paper,25,38,in,469.254
,14pt Uncoated Cover,14pt Uncoated Cover,Paper,12,18,in,156.024
,15pt C1s,15pt C1s,Paper,26,40,in,410
15PT C1S Cover,15PT C1S Cover,15PT C1S Cover,Paper,23,35,in,378.3582
15PT C1S Cover,15PT C1S Cover,15PT C1S Cover,Paper,19,25,in,224.58
