strTemplateName|strAliasTemplate|strNameResource|XJDFDescriptiveName|XJDFMediaType|XJDFWidth|XJDFLength|XJDFDimensionsUnit|XJDFWeight|XJDFMediaColorName|XJDFTexture|XJDFThickness|XJDFThicknessUnit|numPriceTemplateOrResourcePerThousand
||80# Accent Opaque Text Digital|80# Accent Opaque Text Digital|Paper|8.5|11|in|15.74|White|Smooth|0.006|point|15.2
||65# Astrobrights Cover|65# Astrobrights Cover|Paper|8.5|11|in|23.38|Pulsar Pink|Smooth|0.009|point|40.55
65# Astrobrights Cover|C|||Paper|11|17|in|46.75||Smooth|0.009|point|81.05
||65# Astrobrights Cover - Solar Yellow|65# Astrobrights Cover - Solar Yellow|{C}|{C}|{C}|{C}|{C}|Solar Yellow|{C}|{C}|{C}|{C}
||65# Astrobrights Cover - Gamma Green|65# Astrobrights Cover - Gamma Green|{C}|{C}|{C}|{C}|{C}|Gamma Green|{C}|{C}|{C}|{C}
||65# Astrobrights Cover - Re-Entry Red|65# Astrobrights Cover - Re-Entry Red|{C}|{C}|{C}|{C}|{C}|Re-Entry Red|{C}|{C}|{C}|{C}
||65# Astrobrights Cover - Celestial Blue|65# Astrobrights Cover - Celestial Blue|{C}|{C}|{C}|{C}|{C}|Celestial Blue|{C}|{C}|{C}|{C}
||65# Astrobrights Cover - Planetary Purple|65# Astrobrights Cover - Planetary Purple|{C}|{C}|{C}|{C}|{C}|Planetary Purple|{C}|{C}|{C}|{C}
||65# Astrobrights Cover - Re-Entry Red|65# Astrobrights Cover - Re-Entry Red|Paper|8.5|11|in|23.38|Re-Entry Red|Smooth|0.009|point|40.55
60# Astrobrights Text|D|||Paper|8.5|11|in|11.8||Smooth|0.004|point|20.45
||60# Astrobrights Text - Rocket Red|60# Astrobrights Text - Rocket Red|{D}|{D}|{D}|{D}|{D}|Rocket Red|{D}|{D}|{D}|{D}
||60# Astrobrights Text - Lunar Blue|60# Astrobrights Text - Lunar Blue|{D}|{D}|{D}|{D}|{D}|Lunar Blue|{D}|{D}|{D}|{D}
||60# Astrobrights Text - Solar Yellow|60# Astrobrights Text - Solar Yellow|{D}|{D}|{D}|{D}|{D}|Solar Yellow|{D}|{D}|{D}|{D}
65# Astroparche Cover|E|||Paper|8.5|11|in|23.38||Vellum|0.01|point|53.1
||65# Astroparche Cover - White|65# Astroparche Cover - White|{E}|{E}|{E}|{E}|{E}|White|{E}|{E}|{E}|{E}
||65# Astroparche Cover - Aged|65# Astroparche Cover - Aged|{E}|{E}|{E}|{E}|{E}|Aged|{E}|{E}|{E}|{E}
24# Atlas Bond|F|||Paper|8.5|11|in|12||Light Cockle|0.005|point|29.7
||24# Atlas Bond - Recycled Bright White|24# Atlas Bond - Recycled Bright White|{F}|{F}|{F}|{F}|{F}|Recycled Bright White|{F}|{F}|{F}|{F}
||24# Atlas Bond - Ultra Bright White|24# Atlas Bond - Ultra Bright White|{F}|{F}|{F}|{F}|{F}|Ultra Bright White|{F}|{F}|{F}|{F}
||80# Blazer Digital Gloss Cover|80# Blazer Digital Gloss Cover|Paper|18|12|in|66|White|Glossy|0.007|point|57.05
||100# Blazer Digital Gloss Cover|100# Blazer Digital Gloss Cover|Paper|18|12|in|83|White|Glossy|0.009|point|71.8
||100# Blazer Digital Gloss Cover|100# Blazer Digital Gloss Cover|Paper|19|13|in|95|White|Glossy|0.009|point|82.15
||110# Blazer Digital Gloss Cover|110# Blazer Digital Gloss Cover|Paper|18|12|in|91|White|Glossy|0.01|point|78.7
||130# Blazer Digital Gloss Cover|130# Blazer Digital Gloss Cover|Paper|18|12|in|108|White|Glossy|0.012|point|93.4
||130# Blazer Digital Gloss Cover|130# Blazer Digital Gloss Cover|Paper|19|13|in|124|White|Glossy|0.012|point|107.2
||80# Blazer Digital Gloss Text|80# Blazer Digital Gloss Text|Paper|12|18|in|36|White|Glossy|0.003|point|30.25
||80# Blazer Digital Gloss Text|80# Blazer Digital Gloss Text|Paper|13|19|in|42|White|Glossy|0.003|point|35.3
||100# Blazer Digital Gloss Text|100# Blazer Digital Gloss Text|Paper|12|18|in|45|White|Glossy|0.004|point|37.8
||100# Blazer Digital Gloss Text|100# Blazer Digital Gloss Text|Paper|13|19|in|52|White|Glossy|0.004|point|43.7
||100# Blazer Digital Satin Cover|100# Blazer Digital Satin Cover|Paper|18|12|in|83|White|Satin|0.011|point|71.8
||100# Blazer Digital Satin Cover|100# Blazer Digital Satin Cover|Paper|19|13|in|95|White|Satin|0.011|point|82.15
||80# Blazer Digital Satin Cover|80# Blazer Digital Satin Cover|Paper|18|12|in|66|White|Satin|0.009|point|57.05
||80# Blazer Digital Satin Cover|80# Blazer Digital Satin Cover|Paper|19|13|in|76|White|Satin|0.009|point|65.7
||130# Blazer Digital Satin Cover|130# Blazer Digital Satin Cover|Paper|18|12|in|108|White|Satin|0.015|point|93.4
||80# Blazer Digital Satin Text|80# Blazer Digital Satin Text|Paper|12|18|in|36|White|Satin|0.004|point|30.25
||100# Blazer Digital Satin Text|100# Blazer Digital Satin Text|Paper|12|18|in|45|White|Satin|0.005|point|37.8
||100# Blazer Digital Satin Text|100# Blazer Digital Satin Text|Paper|13|19|in|52|White|Satin|0.005|point|43.7
||65# BriteHue Cover|65# BriteHue Cover|Paper|8.5|11|in|23.38|Ultra Orange|Semi-Vellum|0.009|point|34.6
||60# BriteHue Text Recycled|60# BriteHue Text Recycled|Paper|8.5|11|in|11.82|Orange|Semi-Vellum|0.004|point|17.15
||24# Capitol Bond|24# Capitol Bond|Paper|17|11|in|24|White|Light Cockle|0.005|point|57.1
||24# Classic Columns Writing|24# Classic Columns Writing|Paper|8.5|11|in|12|Solar White|Lineal|0.005|point|38.2
||110# Classic Crest Cover - Solar White - W39.54|110# Classic Crest Cover - Solar White - W39.54|Paper|8.5|11|in|39.54|Solar White|Smooth|0.014|point|109.8
||80# Classic Crest Cover - Antique Gray|80# Classic Crest Cover - Antique Gray|Paper|8.5|11|in|28.76|Antique Gray|Smooth|0.01|point|76.75
||65# Classic Crest Cover|65# Classic Crest Cover|Paper|8.5|11|in|23.36|Solar White|Smooth|0.008|point|62.35
||80# Classic Crest Cover - Solar White|80# Classic Crest Cover - Solar White|Paper|8.5|11|in|28.76|Solar White|Smooth|0.01|point|76.75
||110# Classic Crest Cover - Classic Natural White|110# Classic Crest Cover - Classic Natural White|Paper|8.5|11|in|39.54|Classic Natural White|Smooth|0.014|point|108.3
||110# Classic Crest Cover - Solar White - W91.38|110# Classic Crest Cover - Solar White - W91.38|Paper|18|12|in|91.38|Solar White|Smooth|0.014|point|271.05
||80# Classic Crest Smooth Digtl Cvr - Solar White|80# Classic Crest Smooth Digtl Cvr - Solar White|Paper|18|12|in|66.46|Solar White|Smooth|0.01|point|204.8
||100# Classic Crest Smooth Digtl Cvr|100# Classic Crest Smooth Digtl Cvr|Paper|18|12|in|83.06|Solar White|Smooth|0.012|point|208.2
||80# Classic Crest Smooth Digtl Cvr - Classic Natural White|80# Classic Crest Smooth Digtl Cvr - Classic Natural White|Paper|18|12|in|66.46|Classic Natural White|Smooth|0.01|point|202.1
||80# Classic Crest Smooth Digtl Txt - Classic Natural White|80# Classic Crest Smooth Digtl Txt - Classic Natural White|Paper|12|18|in|36.36|Classic Natural White|Smooth|0.005|point|107.6
||80# Classic Crest Smooth Digtl Txt - Solar White|80# Classic Crest Smooth Digtl Txt - Solar White|Paper|12|18|in|36.36|Solar White|Smooth|0.005|point|109.1
||70# Classic Crest Text - Avalanche White|70# Classic Crest Text - Avalanche White|Paper|8.5|11|in|13.76|Avalanche White|Smooth|0.005|point|38.5
||70# Classic Crest Text - Classic Natural White|70# Classic Crest Text - Classic Natural White|Paper|8.5|11|in|13.76|Classic Natural White|Smooth|0.005|point|37.9
||70# Classic Crest Text - Solar White|70# Classic Crest Text - Solar White|Paper|8.5|11|in|13.76|Solar White|Smooth|0.005|point|37
24# Classic Crest Writing|G|||Paper|8.5|11|in|12||Smooth|0.004|point|32.8
||24# Classic Crest Writing - Avon Brilliant White|24# Classic Crest Writing - Avon Brilliant White|{G}|{G}|{G}|{G}|{G}|Avon Brilliant White|{G}|{G}|{G}|{G}
||24# Classic Crest Writing - Classic Natural White|24# Classic Crest Writing - Classic Natural White|{G}|{G}|{G}|{G}|{G}|Classic Natural White|{G}|{G}|{G}|{G}
||24# Classic Crest Writing - Solar White|24# Classic Crest Writing - Solar White|Paper|8.5|11|in|12|Solar White|Smooth|0.004|point|32.25
||24# Classic Crest Writing - Whitestone|24# Classic Crest Writing - Whitestone|Paper|8.5|11|in|12|Whitestone|Smooth|0.004|point|33.85
