strTemplateName|strNameResource|XJDFDescriptiveName|XJDFMediaColorName|XJDFMediaType|XJDFStockType|XJDFWeight|XJDFWidth|XJDFLength|XJDFDimensionsUnit|boolPriceTemplate|numPriceTemplateOrResourcePerThousand
|24# Regular Prism Green|24# Regular Prism Green|Green|Paper|||3.625|6.5|in||32.13
|24# Regular Starburts Yellow|24# Regular Starburts Yellow|Yellow|Paper|||3.625|6.5|in||42.6
|24# Remittance White|24# Remittance White|Whte|Paper|||3.625|6.5|in||31.36
|24# Remittance Blue|24# Remittance Blue|Blue|Paper|||3.625|6.5|in||50.65
|24# Remittance Pink|24# Remittance Pink|Pink|Paper|||3.625|6.5|in||50.65
|24# Dual Purpose Mailer|24# Dual Purpose Mailer||Paper|||3.625|6.5|in||57.79
|24# Regular White|24# Regular White||Paper|||3.625|8.625|in||22.53
|24# Regular White|24# Regular White||Paper|||3.75|6.75|in||25.05
|24# Regular White|24# Regular White||Paper|||3.875|8.875|in||18.23
|24# Window White|24# Window White||Paper|||3.875|8.875|in||25.45
|24# F SHORT Window White (tint)|24# F SHORT Window White (tint)||Paper|||3.875|8.875|in||30.49
