strTemplateName|strNameResource|XJDFDescriptiveName|XJDFMediaColorName|XJDFMediaType|XJDFStockType|XJDFWeight|XJDFWidth|XJDFLength|XJDFDimensionsUnit|boolPriceTemplate|numPriceTemplateOrResourcePerThousand
65# Astrobright|65# Astrobright Pulsar Pink|65# Astrobright Pulsar Pink|Pulsar Pink|Paper||176|11|17|in|1|85.2
65# Astrobright|65# Astrobright Re-Entry Red|65# Astrobright Re-Entry Red|Re-Entry Red|Paper||176|11|17|in|1|85.2
65# Astrobright|65# Astrobright Rocket Red|65# Astrobright Rocket Red|Rocket Red|Paper||176|11|17|in|1|85.2
65# Astrobright|65# Astrobright Solar Yellow|65# Astrobright Solar Yellow|Solar Yellow|Paper||176|11|17|in|1|85.2
65# Astrobright|65# Astrobright Terrestrial Teal|65# Astrobright Terrestrial Teal|Terrestrial Teal|Paper||176|11|17|in|1|85.2
65# Astrobright|65# Astrobright Vulcan Green|65# Astrobright Vulcan Green|Vulcan Green|Paper||176|11|17|in|1|85.2
65# Astrobright|65# Astrobright Martian Green|65# Astrobright Martian Green|Martian Green|Paper||176|11|17|in|1|85.2
65# Astrobright|65# BriteHue Ultra Fuchsia - DISC|65# BriteHue Ultra Fuchsia - DISC|tra Fuchsia - DISC|Paper||176|11|17|in|1|85.2
|80# Astrobright Martian Green|80# Astrobright Martian Green|Martian Green|Paper|175 G/M2 - 80# Bristol|175|26|40|in||870
|80# Astrobright Solar Yellow|80# Astrobright Solar Yellow|Solar Yellow|Paper|175 G/M2 - 80# Bristol|175|23|35|in||467.55
|80# Vellum Bristol|80# Vellum Bristol||Paper|175 G/M2 - 80# Bristol|175|26|40|in||115
|90# White|90# White|White|Paper|163 G/M2 -  90 # Index|163|8.5|11|in||23
|90# Color|90# Color||Paper|163 G/M2 -  90 # Index|163|8.5|11|in||24
|90# White|90# White|White|Paper|163 G/M2 -  90 # Index|163|11|17|in||52
|90# White|90# White|White|Paper|163 G/M2 -  90 # Index|163|8.5|14|in||50.57
|110# White|110# White|White|Paper|199 G/M2 - 110# Index|199|23|35|in||256
|110# Green|110# Green|Green|Paper|199 G/M2 - 110# Index|199|22.5|35|in||265.15
|140# Blue|140# Blue|Blue|Paper|253 G/M2 - 140# Index|253|22.5|35|in||597.66
|140# Gray|140# Gray|Gray|Paper|253 G/M2 - 140# Index|253|22.5|35|in||597.66
|140# Green|140# Green|Green|Paper|253 G/M2 - 140# Index|253|22.5|35|in||597.66
|90# Ivory|90# Ivory|Ivory|Paper|163 G/M2 -  90 # Index|163|22.5|35|in||332
|90# White|90# White|White|Paper|163 G/M2 -  90 # Index|163|22.5|35|in||327.65
|110# Salmon|110# Salmon|Salmon|Paper|199 G/M2 - 110# Index|199|22.5|35|in||265.15
|80# Antique Linen - Gray|80# Antique Linen - Gray|Gray|Paper|216 G/M2 - 80# Cover|216|8.5|11|in||80.4
|80# Antique Linen - White|80# Antique Linen - White|White|Paper|216 G/M2 - 80# Cover|216|8.5|11|in||80.4
|80# Soporset Cover|80# Soporset Cover||Paper|216 G/M2 - 80# Cover|216|8.5|11|in||33.2
|80# Via Natural Fiber Smooth|80# Via Natural Fiber Smooth||Paper|216 G/M2 - 80# Cover|216|8.5|11|in||137.5
|80# Via Smooth Light Blue Fiber Smooth|80# Via Smooth Light Blue Fiber Smooth||Paper|216 G/M2 - 80# Cover|216|8.5|11|in||137.5
|80# Via Linen - Bright White|80# Via Linen - Bright White|Bright White|Paper|216 G/M2 - 80# Cover|216|8.5|11|in||74.25
|80# Cover|80# Cover||Paper|216 G/M2 - 80# Cover|216|11|17|in||58.75
|100# Cougar Cover|100# Cougar Cover||Paper|270 G/M2 - 100# Cover|270|19|13|in||135
|80# Strathmore Soft White Smooth|80# Strathmore Soft White Smooth||Paper|216 G/M2 - 80# Cover|216|19|12.5|in||484
|100# Soporset Cover|100# Soporset Cover||Paper|270 G/M2 - 100# Cover|270|19|13|in||95.65
|80# Soporset Cover|80# Soporset Cover||Paper|216 G/M2 - 80# Cover|216|19|13|in||74.45
|65# Cougar Cover|65# Cougar Cover||Paper|176 G/M2 - 65# Cover|176|18|12|in||76.75
|65# Lynx Cover|65# Lynx Cover||Paper|176 G/M2 - 65# Cover|176|18|12|in||51.2
|100# Cougar Cover|100# Cougar Cover||Paper|270 G/M2 - 100# Cover|270|18|12|in||129.68
|100# Soporset Cover|100# Soporset Cover||Paper|270 G/M2 - 100# Cover|270|18|12|in||97.27
|100# Classic Stipple Digital Epic Black|100# Classic Stipple Digital Epic Black|Black|Paper|270 G/M2 - 100# Cover|270|18|12|in||500
|100# Desert Storm Smooth Cover|100# Desert Storm Smooth Cover||Paper|270 G/M2 - 100# Cover|270|18|12|in||311
|100# Classic Crest Antique Gray Smooth|100# Classic Crest Antique Gray Smooth|Antique Gray|Paper|270 G/M2 - 100# Cover|270|18|12|in||431.28
|100# Natural Cougar Cover|100# Natural Cougar Cover||Paper|270 G/M2 - 100# Cover|270|18|12|in||115
|130# DT Cougar Cover|130# DT Cougar Cover||Paper|352 G/M2 - 130# Cover|352|18|12|in||227
|80# Antique Gray - Neenah Papers|80# Antique Gray - Neenah Papers|Antique Gray|Paper|216 G/M2 - 80# Cover|216|18|12|in||347.8
|80# Cougar Cover|80# Cougar Cover||Paper|216 G/M2 - 80# Cover|216|18|12|in||103.73
|80# Soporset Cover|80# Soporset Cover||Paper|216 G/M2 - 80# Cover|216|18|12|in||77.83
|80# Natural Cougar Cover|80# Natural Cougar Cover||Paper|216 G/M2 - 80# Cover|216|18|12|in||104.81
|110# Classic Crest Whitestone|110# Classic Crest Whitestone||Paper||298|26|40|in||1606.5
|65lb Boise True Whte Ultra Smooth|65lb Boise True Whte Ultra Smooth||Paper|176 G/M2 - 65# Cover|176|28|40|in||276.11
|100# Warm White Smooth Via Cover|100# Warm White Smooth Via Cover||Paper|270 G/M2 - 100# Cover|270|26|40|in||1390
|100# Environment Cover|100# Environment Cover||Paper|270 G/M2 - 100# Cover|270|26|40|in||1656.26
|80# Environment Cover|80# Environment Cover||Paper|216 G/M2 - 80# Cover|216|26|40|in||1299
|80# Soporset Cover|80# Soporset Cover||Paper|216 G/M2 - 80# Cover|216|26|40|in||297.2
|80# Strathmore Soft White Lines Super Smooth|80# Strathmore Soft White Lines Super Smooth||Paper|216 G/M2 - 80# Cover|216|35|23|in||910.06
|80# Blazer Satin Text|80# Blazer Satin Text||Paper|118 G/M2 - 80# Book|118|12|18|in||27.55
|100# Gloss Text|100# Gloss Text||Paper|148 G/M2 - 100# Book|148|12|18|in||34.44
|100# Blazer Satin Text|100# Blazer Satin Text||Paper|148 G/M2 - 100# Book|148|12|18|in||34.44
|100# Gloss Text|100# Gloss Text||Paper|148 G/M2 - 100# Book|148|13|19|in||39.79
|80# Gloss Text|80# Gloss Text||Paper|118 G/M2 - 80# Book|118|13|19|in||32.14
|100# Blazer Satin Text|100# Blazer Satin Text||Paper|148 G/M2 - 100# Book|148|13|19|in||39.79
|80# Gloss Text|80# Gloss Text||Paper|118 G/M2 - 80# Book|118|19|25|in||66
|80# Satin Text|80# Satin Text||Paper|118 G/M2 - 80# Book|118|19|25|in||66
|100# Dull Text|100# Dull Text||Paper|148 G/M2 - 100# Book|148|19|25|in||69.9
|100# Gloss Text|100# Gloss Text||Paper|148 G/M2 - 100# Book|148|19|25|in||68.95
|70# Gloss Text|70# Gloss Text||Paper|104 G/M2 - 70# Book|104|19|25|in||49
|80# Gloss Text|80# Gloss Text||Paper|118 G/M2 - 80# Book|118|23|35|in||152
|80# Blazer Gloss Cover|80# Blazer Gloss Cover||Paper|216 G/M2 - 80# Cover|216|18|12|in||56.31
|80# Blazer Satin Cover|80# Blazer Satin Cover||Paper|216 G/M2 - 80# Cover|216|18|12|in||56.31
|100# Blazer Gloss Cover|100# Blazer Gloss Cover||Paper|270 G/M2 - 100# Cover|270|18|12|in||70.81
|130# Blazer Gloss Cover|130# Blazer Gloss Cover||Paper|352 G/M2 - 130# Cover|352|18|12|in||92.15
|12pt C1S Gloss - Kromkote|12pt C1S Gloss - Kromkote||Paper||250|18|12|in||220.33
|80# Gloss Cover|80# Gloss Cover||Paper|216 G/M2 - 80# Cover|216|19|13|in||78
|80# Satin Cover|80# Satin Cover||Paper|216 G/M2 - 80# Cover|216|19|13|in||58.39
|100# Blazer Satin Cover|100# Blazer Satin Cover||Paper|270 G/M2 - 100# Cover|270|19|13|in||97.85
|100# Blazer Gloss Cover|100# Blazer Gloss Cover||Paper|270 G/M2 - 100# Cover|270|19|13|in||81.04
|130# Blazer Satin Cover|130# Blazer Satin Cover||Paper|352 G/M2 - 130# Cover|352|19|13|in||120.4
|130# Gloss Cover|130# Gloss Cover||Paper|352 G/M2 - 130# Cover|352|19|13|in||105.79
|14 pt ProductoLith C1S|14 pt ProductoLith C1S||Paper||318|20|26|in||230
|80lb Satin Cover|80lb Satin Cover||Paper|216 G/M2 - 80# Cover|216|25|38|in||313.61
|80lb Satin Cover|80lb Satin Cover||Paper|216 G/M2 - 80# Cover|216|26|40|in||343.67
|14pt Tango C2S|14pt Tango C2S||Paper|||18|12|in||120.96
|16pt Tango C2S|16pt Tango C2S||Paper|||19|13|in||148.22
|100# Gloss Cover|100# Gloss Cover||Paper|270 G/M2 - 100# Cover|270|19|25|in||130
|80# Gloss Cover|80# Gloss Cover||Paper|216 G/M2 - 80# Cover|216|19|25|in||105
|2 Part Reverse (white/pink)|2 Part Reverse (white/pink)||Paper|||8.5|11|in||34
|2 Part Reverse (white/yellow)|2 Part Reverse (white/yellow)||Paper|||8.5|11|in||34
|3 Part Reverse|3 Part Reverse||Paper|||8.5|11|in||38.62
|3 Part Straight|3 Part Straight||Paper|||8.5|11|in||38.62
|4 Part Reverse|4 Part Reverse||Paper|||8.5|11|in||58.53
|5 Part Reverse|5 Part Reverse||Paper|||8.5|11|in||58.53
|2 Part Rx Invalid|2 Part Rx Invalid||Paper|||8.5|11|in||85.2
|20# CB Canary|20# CB Canary||Paper|||8.5|11|in||60
|20# CB White|20# CB White||Paper|||8.5|11|in||64.15
|20# CF Blue|20# CF Blue||Paper|||8.5|11|in||47.75
|20# CF Green|20# CF Green||Paper|||8.5|11|in||55
|20# CF Pink|20# CF Pink||Paper|||8.5|11|in||47.75
|20# CFB Blue|20# CFB Blue||Paper|||8.5|11|in||59.5
|20# CFB Canary|20# CFB Canary||Paper|||8.5|11|in||83
|20# CFB Pink|20# CFB Pink||Paper|||8.5|11|in||83
|20# CFB Green|20# CFB Green||Paper|||8.5|11|in||59.5
|White Tag CF|White Tag CF||Paper|||8.5|11|in||125.4
|Manilla Tag CF|Manilla Tag CF||Paper|||8.5|11|in||145.55
|2 Part Reverse - Snap Apart|2 Part Reverse - Snap Apart||Paper|||9|11|in||57.7
|3 Part Reverse - Snap Apart|3 Part Reverse - Snap Apart||Paper|||9|11|in||67.17
