Complexity,?,float,,Complexity of the task specified by this XJDF in a range from 0.0 to 1.0. Note: The interpretation of values is implementation dependent
CostType,?,enumeration,,Specifies whether or not this MISDetails is chargeable to the customer or not.
WorkType,?,enumeration,,"Definition of the work type for this MISDetails (i.e., whether or not this MISDetails relates to originally planned work, an alteration or rework)."
WorkTypeDetails,?,NMTOKEN,NMWorkTypeDetails,"Machine readable definition of the details of the work type for this MISDetails (i.e., why the work was done)."
