BinderySignatureIDs,?,NMTOKENS,,"@BinderySignatureIDs specifies an ordered list of BinderySignature that SHALL be assembled by the method specified in @Order. @BinderySignatureIDs SHALL NOT be present, if @Order=""List""."
Order,,enumeration,,Ordering of the individual BinderySignature elements. Order specifies the topology of the final Assembly
AssemblySection,*,element,,"Each AssemblySection element represents one section that SHALL be gathered. The first AssemblySection SHALL be placed on top, i.e. it is the front of the Assembly. AssemblySection elements SHALL NOT be specified unless @Order=""List"" and SHALL be specified if @Order=""List""."
