LayoutIntent
MediaIntent
ColorIntent
BindingIntent
AssemblingIntent
ContentCheckIntent
EmbossingIntent
FoldingIntent
HoleMakingIntent
LaminatingIntent
ProductionIntent
ShapeCuttingIntent
VariableIntent
